match_id,set_number,team_a_points,team_b_points
fivb_vis:9210,3,25,13
fivb_vis:9211,1,14,25
fivb_vis:9211,2,19,25
fivb_vis:9211,3,32,30
fivb_vis:9211,4,25,19
fivb_vis:9211,5,17,15
fivb_vis:9212,1,15,25
fivb_vis:9212,2,17,25
fivb_vis:9212,3,16,25
fivb_vis:9213,1,19,25
fivb_vis:9213,2,17,25
fivb_vis:9213,3,15,25
fivb_vis:9214,1,16,25
fivb_vis:9214,2,17,25
fivb_vis:9214,3,11,25
fivb_vis:9215,1,25,16
fivb_vis:9215,2,25,15
fivb_vis:9215,3,25,20
fivb_vis:9216,1,25,12
fivb_vis:9216,2,25,19
fivb_vis:9216,3,25,10
fivb_vis:9217,1,25,17
fivb_vis:9217,2,28,26
fivb_vis:9217,3,22,25
fivb_vis:9217,4,25,27
fivb_vis:9217,5,15,11
fivb_vis:9218,1,28,26
fivb_vis:9218,2,25,20
fivb_vis:9218,3,25,23
fivb_vis:9219,1,25,23
fivb_vis:9219,2,23,25
fivb_vis:9219,3,13,25
fivb_vis:9219,4,19,25
fivb_vis:9220,1,21,25
fivb_vis:9220,2,20,25
fivb_vis:9220,3,25,23
fivb_vis:9220,4,19,25
fivb_vis:9221,1,14,25
fivb_vis:9221,2,20,25
fivb_vis:9221,3,20,25
fivb_vis:9222,1,21,25
fivb_vis:9222,2,17,25
fivb_vis:9222,3,18,25
fivb_vis:9223,1,25,19
fivb_vis:9223,2,25,16
fivb_vis:9223,3,25,14
fivb_vis:9224,1,25,17
fivb_vis:9224,2,25,16
fivb_vis:9224,3,25,17
fivb_vis:9225,1,25,22
fivb_vis:9225,2,25,14
fivb_vis:9225,3,25,18
fivb_vis:9226,1,25,15
fivb_vis:9226,2,25,12
fivb_vis:9226,3,25,15
fivb_vis:9227,1,25,21
fivb_vis:9227,2,18,25
fivb_vis:9227,3,27,25
fivb_vis:9227,4,19,25
fivb_vis:9227,5,7,15
fivb_vis:9228,1,26,24
fivb_vis:9228,2,25,17
fivb_vis:9228,3,22,25
fivb_vis:9228,4,25,21
fivb_vis:9229,1,13,25
fivb_vis:9229,2,18,25
fivb_vis:9229,3,15,25
fivb_vis:9230,1,25,18
fivb_vis:9230,2,22,25
fivb_vis:9230,3,18,25
fivb_vis:9230,4,25,22
fivb_vis:9230,5,19,17
fivb_vis:9231,1,25,23
fivb_vis:9231,2,25,27
fivb_vis:9231,3,29,27
fivb_vis:9231,4,25,22
fivb_vis:9232,1,22,25
fivb_vis:9232,2,25,20
fivb_vis:9232,3,25,18
fivb_vis:9232,4,25,22
fivb_vis:9233,1,15,25
fivb_vis:9233,2,25,23
fivb_vis:9233,3,25,23
fivb_vis:9233,4,25,23
fivb_vis:9234,1,25,17
fivb_vis:9234,2,26,24
fivb_vis:9234,3,25,18
fivb_vis:9235,1,17,25
fivb_vis:9235,2,19,25
fivb_vis:9235,3,25,18
fivb_vis:9235,4,19,25
fivb_vis:9236,1,25,19
fivb_vis:9236,2,25,20
fivb_vis:9236,3,25,20
fivb_vis:9237,1,12,25
fivb_vis:9237,2,19,25
fivb_vis:9237,3,17,25
fivb_vis:9238,1,22,25
fivb_vis:9238,2,25,20
fivb_vis:9238,3,25,22
fivb_vis:9238,4,25,20
fivb_vis:9239,1,25,16
fivb_vis:9239,2,25,12
fivb_vis:9239,3,25,20
fivb_vis:9240,1,25,16
fivb_vis:9240,2,25,23
fivb_vis:9240,3,20,25
fivb_vis:9240,4,25,16
fivb_vis:9241,1,25,23
fivb_vis:9241,2,25,16
fivb_vis:9241,3,26,28
fivb_vis:9241,4,21,25
fivb_vis:9241,5,11,15
fivb_vis:9242,1,25,22
fivb_vis:9242,2,21,25
fivb_vis:9242,3,25,23
fivb_vis:9242,4,25,15
fivb_vis:9243,1,25,22
fivb_vis:9243,2,19,25
fivb_vis:9243,3,20,25
fivb_vis:9243,4,25,23
fivb_vis:9243,5,15,9
fivb_vis:9244,1,19,25
